,year,team,rank_regular,rank_playoffs
0,2023,Milwaukee Bucks,1,0
1,2023,Boston Celtics,2,2
2,2023,Philadelphia ers,3,-1
3,2023,Denver Nuggets,4,4
4,2023,Cleveland Cavaliers,5,0
5,2023,Memphis Grizzlies,6,0
6,2023,Sacramento Kings,7,0
7,2023,New York Knicks,8,1
8,2023,Brooklyn Nets,9,0
9,2023,Phoenix Suns,10,1
10,2023,Golden State Warriors,11,1
11,2023,Los Angeles Clippers,12,0
12,2023,Miami Heat,13,3
13,2023,Los Angeles Lakers,14,2
14,2023,Minnesota Timberwolves,15,0
15,2023,New Orleans Pelicans,16,-1
16,2023,Atlanta Hawks,17,0
17,2023,Toronto Raptors,18,-1
18,2023,Chicago Bulls,19,-1
19,2023,Oklahoma City Thunder,20,-1
20,2023,Dallas Mavericks,21,-1
21,2023,Utah Jazz,22,-1
22,2023,Indiana Pacers,23,-1
23,2023,Washington Wizards,24,-1
24,2023,Orlando Magic,25,-1
25,2023,Portland Trail Blazers,26,-1
26,2023,Charlotte Hornets,27,-1
27,2023,Houston Rockets,28,-1
28,2023,San Antonio Spurs,29,-1
29,2023,Detroit Pistons,30,-1
30,2024,Boston Celtics,1,4
31,2024,Denver Nuggets,2,1
32,2024,Oklahoma City Thunder,3,1
33,2024,Minnesota Timberwolves,4,2
34,2024,Los Angeles Clippers,5,0
35,2024,Dallas Mavericks,6,3
36,2024,New York Knicks,7,1
37,2024,Milwaukee Bucks,8,0
38,2024,New Orleans Pelicans,9,0
39,2024,Phoenix Suns,10,0
40,2024,Cleveland Cavaliers,11,1
41,2024,Indiana Pacers,12,2
42,2024,Los Angeles Lakers,13,0
43,2024,Orlando Magic,14,0
44,2024,Philadelphia ers,15,-1
45,2024,Miami Heat,16,0
46,2024,Golden State Warriors,17,-1
47,2024,Sacramento Kings,18,-1
48,2024,Houston Rockets,19,-1
49,2024,Chicago Bulls,20,-1
50,2024,Atlanta Hawks,21,-1
51,2024,Brooklyn Nets,22,-1
52,2024,Utah Jazz,23,-1
53,2024,Memphis Grizzlies,24,-1
54,2024,Toronto Raptors,25,-1
55,2024,San Antonio Spurs,26,-1
56,2024,Charlotte Hornets,27,-1
57,2024,Portland Trail Blazers,28,-1
58,2024,Washington Wizards,29,-1
59,2024,Detroit Pistons,30,-1
