team,mean,min,max,std
portland trail blazers,41.19120000000001,40.30999999999999,42.43,0.5013806537950996
philadelphia 76ers,41.1888,39.86999999999998,42.240000000000016,0.4695684827583746
memphis grizzlies,41.16780000000001,40.52999999999998,42.24,0.4182357708278934
detroit pistons,41.1416,40.079999999999984,41.97,0.39843875313529004
boston celtics,41.08559999999999,40.05,42.04,0.42143640089579754
san antonio spurs,41.0652,40.30999999999999,42.31000000000001,0.38841338802878533
orlando magic,41.0606,40.09000000000002,42.210000000000015,0.45906169520011225
golden state warriors,41.047200000000004,40.29000000000001,41.96,0.3744064102015329
brooklyn nets,41.0356,39.73999999999999,41.87999999999998,0.44649819708482397
milwaukee bucks,41.031400000000005,39.79999999999998,42.09000000000002,0.40490003704618227
minnesota timberwolves,41.0092,40.35000000000001,42.12,0.4075479849048439
miami heat,41.0088,39.99,41.990000000000016,0.44750258099814527
new york knicks,40.9962,39.74999999999998,42.18999999999999,0.4609940997453224
washington wizards,40.9954,40.019999999999996,41.84999999999998,0.41927656743490777
los angeles lakers,40.99360000000001,39.76000000000001,41.92,0.469556216016783
atlanta hawks,40.983200000000004,39.9,41.79999999999999,0.44392990437680624
toronto raptors,40.9812,39.910000000000004,41.960000000000015,0.4471985688706973
new orleans pelicans,40.9806,40.2,42.02999999999998,0.41014343832371464
oklahoma city thunder,40.972,40.16999999999999,42.16999999999999,0.4147577606266113
phoenix suns,40.958400000000005,39.89999999999999,41.92000000000001,0.39798170812237105
utah jazz,40.95719999999999,40.11,42.16999999999998,0.47448936763640887
indiana pacers,40.953599999999994,40.11000000000001,41.7,0.4048938626356276
houston rockets,40.9414,40.16999999999998,41.92000000000001,0.4011384299715052
sacramento kings,40.9356,40.25,41.81,0.3922150430567382
dallas mavericks,40.917,39.93999999999999,41.78,0.48051326724659904
chicago bulls,40.9078,40.00999999999999,41.85000000000001,0.414735047952307
denver nuggets,40.891,40.05000000000001,41.71999999999999,0.4347378520441937
cleveland cavaliers,40.8818,39.839999999999975,42.16999999999998,0.4251291098007742
charlotte hornets,40.85959999999999,39.370000000000005,41.809999999999974,0.44722236080052885
los angeles clippers,40.8142,39.99999999999998,41.91999999999999,0.443319704051149
