,year,team_normalized,coins
986,2020,sacramento kings,3.67
987,2021,sacramento kings,4.67
988,2022,sacramento kings,4.25
989,2023,sacramento kings,4.25
990,2024,sacramento kings,5.25
991,1985,san antonio spurs,0.0
992,1986,san antonio spurs,0.0
993,1987,san antonio spurs,0.0
994,1988,san antonio spurs,0.0
995,1989,san antonio spurs,0.5
996,1990,san antonio spurs,0.38
997,1991,san antonio spurs,0.38
998,1992,san antonio spurs,0.38
999,1993,san antonio spurs,0.28
1000,1994,san antonio spurs,0.28
1001,1995,san antonio spurs,0.14
1002,1996,san antonio spurs,0.11
1003,1997,san antonio spurs,0.0
1004,1998,san antonio spurs,0.0
1005,1999,san antonio spurs,0.0
1006,2000,san antonio spurs,0.0
1007,2001,san antonio spurs,0.0
1008,2002,san antonio spurs,0.0
1009,2003,san antonio spurs,0.0
1010,2004,san antonio spurs,0.0
1011,2005,san antonio spurs,0.0
1012,2006,san antonio spurs,0.0
1013,2007,san antonio spurs,0.0
1014,2008,san antonio spurs,0.0
1015,2009,san antonio spurs,0.0
1016,2010,san antonio spurs,0.0
1017,2011,san antonio spurs,0.0
1018,2012,san antonio spurs,0.0
1019,2013,san antonio spurs,0.0
1020,2014,san antonio spurs,0.0
1021,2015,san antonio spurs,0.0
1022,2016,san antonio spurs,0.0
1023,2017,san antonio spurs,0.0
1024,2018,san antonio spurs,0.0
1025,2019,san antonio spurs,0.0
1026,2020,san antonio spurs,1.0
1027,2021,san antonio spurs,2.0
1028,2022,san antonio spurs,3.0
1029,2023,san antonio spurs,0.0
1030,2024,san antonio spurs,0.75
1031,1996,toronto raptors,0.25
1032,1997,toronto raptors,1.25
1033,1998,toronto raptors,1.69
1034,1999,toronto raptors,2.69
1035,2000,toronto raptors,2.69
1036,2001,toronto raptors,2.02
1037,2002,toronto raptors,2.02
1038,2003,toronto raptors,2.26
1039,2004,toronto raptors,3.26
1040,2005,toronto raptors,4.26
1041,2006,toronto raptors,0.0
1042,2007,toronto raptors,0.0
1043,2008,toronto raptors,0.0
1044,2009,toronto raptors,1.0
1045,2010,toronto raptors,2.0
1046,2011,toronto raptors,3.0
1047,2012,toronto raptors,4.0
1048,2013,toronto raptors,5.0
1049,2014,toronto raptors,5.0
1050,2015,toronto raptors,5.0
1051,2016,toronto raptors,2.5
1052,2017,toronto raptors,1.88
1053,2018,toronto raptors,1.41
1054,2019,toronto raptors,0.0
1055,2020,toronto raptors,0.0
1056,2021,toronto raptors,0.75
1057,2022,toronto raptors,0.75
1058,2023,toronto raptors,1.75
1059,2024,toronto raptors,2.75
1060,1985,utah jazz,0.0
1061,1986,utah jazz,0.0
1062,1987,utah jazz,0.0
1063,1988,utah jazz,0.0
1064,1989,utah jazz,0.0
1065,1990,utah jazz,0.0
1066,1991,utah jazz,0.0
1067,1992,utah jazz,0.0
1068,1993,utah jazz,0.0
1069,1994,utah jazz,0.0
1070,1995,utah jazz,0.0
1071,1996,utah jazz,0.0
1072,1997,utah jazz,0.0
1073,1998,utah jazz,0.0
1074,1999,utah jazz,0.0
1075,2000,utah jazz,0.0
1076,2001,utah jazz,0.0
1077,2002,utah jazz,0.0
1078,2003,utah jazz,0.0
1079,2004,utah jazz,1.0
1080,2005,utah jazz,2.0
1081,2006,utah jazz,3.0
1082,2007,utah jazz,1.5
1083,2008,utah jazz,1.12
1084,2009,utah jazz,1.12
1085,2010,utah jazz,0.84
1086,2011,utah jazz,1.84
1087,2012,utah jazz,1.84
1088,2013,utah jazz,2.84
1089,2014,utah jazz,3.84
1090,2015,utah jazz,4.84
1091,2016,utah jazz,5.84
1092,2017,utah jazz,4.38
1093,2018,utah jazz,3.29
1094,2019,utah jazz,3.29
1095,2020,utah jazz,3.29
1096,2021,utah jazz,2.47
1097,2022,utah jazz,2.47
1098,2023,utah jazz,3.47
1099,2024,utah jazz,4.47
1100,1985,washington wizards,0.0
1101,1986,washington wizards,0.0
1102,1987,washington wizards,0.0
1103,1988,washington wizards,0.0
1104,1989,washington wizards,1.0
1105,1990,washington wizards,2.0
1106,1991,washington wizards,3.0
1107,1992,washington wizards,4.0
1108,1993,washington wizards,5.0
1109,1994,washington wizards,6.0
1110,1995,washington wizards,5.25
1111,1996,washington wizards,6.25
1112,1997,washington wizards,6.25
1113,1998,washington wizards,7.25
1114,1999,washington wizards,8.25
1115,2000,washington wizards,9.25
1116,2001,washington wizards,0.0
1117,2002,washington wizards,1.0
1118,2003,washington wizards,2.0
1119,2004,washington wizards,3.0
1120,2005,washington wizards,2.25
1121,2006,washington wizards,2.25
1122,2007,washington wizards,2.25
1123,2008,washington wizards,2.25
1124,2009,washington wizards,3.25
1125,2010,washington wizards,0.0
1126,2011,washington wizards,1.0
1127,2012,washington wizards,1.0
1128,2013,washington wizards,1.0
1129,2014,washington wizards,0.75
1130,2015,washington wizards,0.56
1131,2016,washington wizards,1.56
1132,2017,washington wizards,1.17
1133,2018,washington wizards,1.17
1134,2019,washington wizards,2.17
1135,2020,washington wizards,3.17
1136,2021,washington wizards,3.17
1137,2022,washington wizards,4.17
1138,2023,washington wizards,5.17
1139,2024,washington wizards,1.54
