team,mean,min,max,std
dallas mavericks,46.60042055669058,34.18156170292696,58.844612160206324,5.676952844594814
new orleans pelicans,46.38898248059811,36.474571185944136,62.72582475059262,5.279084711173098
oklahoma city thunder,45.751632216839255,33.634218691595386,56.19105397908642,5.286184783102247
toronto raptors,45.39686036720276,35.571198760734596,65.77428571341107,5.498120612675985
chicago bulls,45.270952671246796,36.73113450158255,56.455169797336445,4.916554813182462
los angeles clippers,45.171280309264986,37.08751241990216,58.23043049258298,5.881595483950727
minnesota timberwolves,44.84152945323926,37.422408607644435,56.8978357862552,4.91018641814226
utah jazz,44.82405518534213,36.595204335834616,55.92761695755291,4.910731688965934
washington wizards,44.701823721565326,36.06593417736637,53.83839538004735,4.343288013837067
miami heat,44.46677530167816,33.62465892602806,57.91297885558781,4.933175648018313
brooklyn nets,44.38713867048798,36.578601589502284,56.62463378761661,4.5706046608142765
denver nuggets,44.34359676486716,31.39194558788516,54.50228385794449,5.262882244046507
sacramento kings,44.19730648443353,36.00392165444589,59.12082761532299,4.640557739897604
philadelphia 76ers,44.16993049857781,36.17823112059938,51.356952758788026,3.4324081716431687
milwaukee bucks,44.1123943731566,34.65063209360249,56.14034429653893,4.764317999823435
houston rockets,43.87504862092066,34.43786668653734,55.78387001486511,4.61907897582294
san antonio spurs,43.869484061090624,36.436667948324526,51.0360384888168,3.9960463990903166
atlanta hawks,43.61219601174603,37.95411109900471,54.42919388650162,3.875596161007341
charlotte hornets,43.6097136891743,35.1708239558668,59.98559506078268,4.967428834884479
indiana pacers,43.56041227467488,33.71048249674795,54.00253388396588,4.60683876767197
golden state warriors,43.50086804482014,32.687715693087334,57.256351445051216,5.660294793224628
orlando magic,43.44188512230702,31.864985475051252,51.000187816399894,4.441326356053012
los angeles lakers,43.388571145390344,34.03082413967212,59.21683994105124,5.061082782711899
detroit pistons,43.32787997018596,34.473638962569254,55.4934238030661,4.826640503305115
new york knicks,43.264907041424074,33.26704863693167,54.10052005892982,4.9129713263599495
portland trail blazers,43.04515079601769,33.56182066873759,63.08707952063715,6.099699740792025
boston celtics,42.644543943148356,35.5406193158356,50.314384082921116,3.317402362002036
cleveland cavaliers,42.56395498556215,31.847101593583503,54.26299220344503,4.410202519639511
memphis grizzlies,42.39787044822681,33.62288490324041,54.79561118695644,4.66161764102732
phoenix suns,41.561958764323805,32.483251803367835,52.036934009162735,4.109322830304133
