team,mean,min,max,std
golden state warriors,14.64,5,26,3.6208286344426743
phoenix suns,14.14,8,20,2.884510357062356
charlotte hornets,14.08,6,24,4.083331972788889
milwaukee bucks,13.98,5,23,3.546773181357951
houston rockets,13.82,6,20,3.0573845031333566
utah jazz,13.76,6,24,3.8239246854507996
atlanta hawks,13.7,7,22,3.471310991541957
los angeles lakers,13.7,7,20,3.028200785945344
los angeles clippers,13.6,7,27,3.888444419044716
toronto raptors,13.56,7,21,3.4476658770826387
new york knicks,13.44,6,20,3.4476658770826383
cleveland cavaliers,13.42,6,22,3.0599999999999996
brooklyn nets,13.34,5,25,3.564323217666995
chicago bulls,13.32,7,24,3.276827734257631
philadelphia 76ers,13.3,6,19,3.119294792096445
orlando magic,13.26,5,21,3.2112925746496535
denver nuggets,13.24,6,24,3.6908535598151277
san antonio spurs,13.22,7,24,3.378105978207315
dallas mavericks,13.18,7,20,3.1285140242613583
oklahoma city thunder,13.06,6,19,3.2025614748198046
sacramento kings,13.06,5,20,2.894201098749014
new orleans pelicans,13.02,6,23,3.597165550819145
detroit pistons,12.92,6,20,2.965400478856102
washington wizards,12.9,6,20,3.3481338085566414
indiana pacers,12.9,7,22,3.318132004607411
portland trail blazers,12.9,7,20,3.2695565448543635
minnesota timberwolves,12.86,7,24,3.4000588230205664
memphis grizzlies,12.68,7,19,2.969444392474794
boston celtics,12.64,5,20,3.357141641337166
miami heat,12.36,7,24,3.260429419570373
