,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
67,67,1987,New York Knicks,22,-1,new york knicks
68,68,1987,Los Angeles Clippers,23,-1,los angeles clippers
69,69,1988,Los Angeles Lakers,1,4,los angeles lakers
70,70,1988,Boston Celtics,2,2,boston celtics
71,71,1988,Denver Nuggets,3,1,denver nuggets
72,72,1988,Detroit Pistons,4,3,detroit pistons
73,73,1988,Dallas Mavericks,5,2,dallas mavericks
74,74,1988,Portland Trail Blazers,6,0,portland trail blazers
75,75,1988,Atlanta Hawks,7,1,atlanta hawks
76,76,1988,Chicago Bulls,8,1,chicago bulls
77,77,1988,Utah Jazz,9,1,utah jazz
78,78,1988,Houston Rockets,10,0,houston rockets
79,79,1988,Seattle SuperSonics,11,0,oklahoma city thunder
80,80,1988,Cleveland Cavaliers,12,0,cleveland cavaliers
81,81,1988,Milwaukee Bucks,13,0,milwaukee bucks
82,82,1988,New York Knicks,14,0,new york knicks
83,83,1988,Washington Bullets,15,0,washington wizards
84,84,1988,Indiana Pacers,16,-1,indiana pacers
85,85,1988,Philadelphia 76ers,17,-1,philadelphia 76ers
86,86,1988,San Antonio Spurs,18,0,san antonio spurs
87,87,1988,Phoenix Suns,19,-1,phoenix suns
88,88,1988,Sacramento Kings,20,-1,sacramento kings
89,89,1988,Golden State Warriors,21,-1,golden state warriors
90,90,1988,New Jersey Nets,22,-1,brooklyn nets
91,91,1988,Los Angeles Clippers,23,-1,los angeles clippers
92,92,1989,Detroit Pistons,1,4,detroit pistons
93,93,1989,Cleveland Cavaliers,2,0,cleveland cavaliers
94,94,1989,Los Angeles Lakers,3,3,los angeles lakers
95,95,1989,Phoenix Suns,4,2,phoenix suns
96,96,1989,Atlanta Hawks,5,0,atlanta hawks
97,97,1989,New York Knicks,6,1,new york knicks
98,98,1989,Utah Jazz,7,0,utah jazz
99,99,1989,Milwaukee Bucks,8,1,milwaukee bucks
100,100,1989,Chicago Bulls,9,2,chicago bulls
101,101,1989,Seattle SuperSonics,10,1,oklahoma city thunder
102,102,1989,Philadelphia 76ers,11,0,philadelphia 76ers
103,103,1989,Houston Rockets,12,0,houston rockets
104,104,1989,Denver Nuggets,13,0,denver nuggets
105,105,1989,Golden State Warriors,14,1,golden state warriors
106,106,1989,Boston Celtics,15,0,boston celtics
107,107,1989,Washington Bullets,16,-1,washington wizards
108,108,1989,Portland Trail Blazers,17,0,portland trail blazers
109,109,1989,Dallas Mavericks,18,-1,dallas mavericks
110,110,1989,Indiana Pacers,19,-1,indiana pacers
111,111,1989,Sacramento Kings,20,-1,sacramento kings
112,112,1989,New Jersey Nets,21,-1,brooklyn nets
113,113,1989,Los Angeles Clippers,22,-1,los angeles clippers
114,114,1989,San Antonio Spurs,23,-1,san antonio spurs
115,115,1989,Charlotte Hornets,24,-1,charlotte hornets
116,116,1989,Miami Heat,25,-1,miami heat
117,117,1990,Los Angeles Lakers,1,1,los angeles lakers
118,118,1990,Detroit Pistons,2,4,detroit pistons
119,119,1990,Portland Trail Blazers,3,3,portland trail blazers
120,120,1990,San Antonio Spurs,4,1,san antonio spurs
121,121,1990,Chicago Bulls,5,2,chicago bulls
122,122,1990,Utah Jazz,6,0,utah jazz
123,123,1990,Phoenix Suns,7,2,phoenix suns
124,124,1990,Philadelphia 76ers,8,1,philadelphia 76ers
125,125,1990,Boston Celtics,9,0,boston celtics
126,126,1990,Dallas Mavericks,10,0,dallas mavericks
127,127,1990,New York Knicks,11,1,new york knicks
128,128,1990,Milwaukee Bucks,12,0,milwaukee bucks
129,129,1990,Denver Nuggets,13,0,denver nuggets
130,130,1990,Cleveland Cavaliers,14,0,cleveland cavaliers
131,131,1990,Indiana Pacers,15,0,indiana pacers
132,132,1990,Houston Rockets,16,0,houston rockets
133,133,1990,Atlanta Hawks,17,-1,atlanta hawks
134,134,1990,Seattle SuperSonics,18,-1,oklahoma city thunder
135,135,1990,Golden State Warriors,19,-1,golden state warriors
136,136,1990,Washington Bullets,20,-1,washington wizards
137,137,1990,Los Angeles Clippers,21,-1,los angeles clippers
138,138,1990,Sacramento Kings,22,-1,sacramento kings
139,139,1990,Minnesota Timberwolves,23,-1,minnesota timberwolves
140,140,1990,Charlotte Hornets,24,-1,charlotte hornets
141,141,1990,Miami Heat,25,-1,miami heat
142,142,1990,Orlando Magic,26,-1,orlando magic
143,143,1990,New Jersey Nets,27,-1,brooklyn nets
144,144,1991,Portland Trail Blazers,1,2,portland trail blazers
145,145,1991,Chicago Bulls,2,4,chicago bulls
146,146,1991,Los Angeles Lakers,3,3,los angeles lakers
147,147,1991,Boston Celtics,4,1,boston celtics
148,148,1991,Phoenix Suns,5,0,phoenix suns
149,149,1991,San Antonio Spurs,6,0,san antonio spurs
150,150,1991,Utah Jazz,7,1,utah jazz
151,151,1991,Houston Rockets,8,0,houston rockets
152,152,1991,Detroit Pistons,9,2,detroit pistons
153,153,1991,Milwaukee Bucks,10,0,milwaukee bucks
154,154,1991,Golden State Warriors,11,1,golden state warriors
155,155,1991,Philadelphia 76ers,12,1,philadelphia 76ers
156,156,1991,Atlanta Hawks,13,0,atlanta hawks
157,157,1991,Indiana Pacers,14,0,indiana pacers
158,158,1991,Seattle SuperSonics,15,0,oklahoma city thunder
159,159,1991,New York Knicks,16,0,new york knicks
160,160,1991,Cleveland Cavaliers,17,-1,cleveland cavaliers
161,161,1991,Los Angeles Clippers,18,-1,los angeles clippers
162,162,1991,Orlando Magic,19,-1,orlando magic
163,163,1991,Washington Bullets,20,-1,washington wizards
164,164,1991,Minnesota Timberwolves,21,-1,minnesota timberwolves
165,165,1991,Dallas Mavericks,22,-1,dallas mavericks
166,166,1991,Charlotte Hornets,23,-1,charlotte hornets
167,167,1991,New Jersey Nets,24,-1,brooklyn nets
168,168,1991,Sacramento Kings,25,-1,sacramento kings
169,169,1991,Miami Heat,26,-1,miami heat
170,170,1991,Denver Nuggets,27,-1,denver nuggets
171,171,1992,Chicago Bulls,1,4,chicago bulls
172,172,1992,Cleveland Cavaliers,2,2,cleveland cavaliers
173,173,1992,Portland Trail Blazers,3,3,portland trail blazers
174,174,1992,Golden State Warriors,4,0,golden state warriors
175,175,1992,Utah Jazz,5,2,utah jazz
176,176,1992,Phoenix Suns,6,1,phoenix suns
177,177,1992,Boston Celtics,7,1,boston celtics
178,178,1992,New York Knicks,8,1,new york knicks
179,179,1992,Detroit Pistons,9,0,detroit pistons
180,180,1992,San Antonio Spurs,10,0,san antonio spurs
181,181,1992,Seattle SuperSonics,11,1,oklahoma city thunder
182,182,1992,Los Angeles Clippers,12,0,los angeles clippers
183,183,1992,Los Angeles Lakers,13,0,los angeles lakers
184,184,1992,Houston Rockets,14,-1,houston rockets
185,185,1992,Indiana Pacers,15,0,indiana pacers
186,186,1992,New Jersey Nets,16,0,brooklyn nets
187,187,1992,Miami Heat,17,0,miami heat
188,188,1992,Atlanta Hawks,18,-1,atlanta hawks
189,189,1992,Philadelphia 76ers,19,-1,philadelphia 76ers
190,190,1992,Charlotte Hornets,20,-1,charlotte hornets
191,191,1992,Milwaukee Bucks,21,-1,milwaukee bucks
192,192,1992,Sacramento Kings,22,-1,sacramento kings
193,193,1992,Washington Bullets,23,-1,washington wizards
194,194,1992,Denver Nuggets,24,-1,denver nuggets
195,195,1992,Dallas Mavericks,25,-1,dallas mavericks
196,196,1992,Orlando Magic,26,-1,orlando magic
197,197,1992,Minnesota Timberwolves,27,-1,minnesota timberwolves
198,198,1993,Phoenix Suns,1,3,phoenix suns
199,199,1993,New York Knicks,2,2,new york knicks
200,200,1993,Chicago Bulls,3,4,chicago bulls
201,201,1993,Houston Rockets,4,1,houston rockets
202,202,1993,Seattle SuperSonics,5,2,oklahoma city thunder
203,203,1993,Cleveland Cavaliers,6,1,cleveland cavaliers
204,204,1993,Portland Trail Blazers,7,0,portland trail blazers
205,205,1993,San Antonio Spurs,8,1,san antonio spurs
206,206,1993,Boston Celtics,9,0,boston celtics
207,207,1993,Utah Jazz,10,0,utah jazz
208,208,1993,Charlotte Hornets,11,1,charlotte hornets
209,209,1993,Atlanta Hawks,12,0,atlanta hawks
210,210,1993,New Jersey Nets,13,0,brooklyn nets
211,211,1993,Indiana Pacers,14,0,indiana pacers
212,212,1993,Los Angeles Clippers,15,0,los angeles clippers
213,213,1993,Orlando Magic,16,-1,orlando magic
214,214,1993,Detroit Pistons,17,-1,detroit pistons
215,215,1993,Los Angeles Lakers,18,0,los angeles lakers
216,216,1993,Denver Nuggets,19,-1,denver nuggets
217,217,1993,Miami Heat,20,-1,miami heat
218,218,1993,Golden State Warriors,21,-1,golden state warriors
219,219,1993,Milwaukee Bucks,22,-1,milwaukee bucks
220,220,1993,Philadelphia 76ers,23,-1,philadelphia 76ers
221,221,1993,Sacramento Kings,24,-1,sacramento kings
222,222,1993,Washington Bullets,25,-1,washington wizards
223,223,1993,Minnesota Timberwolves,26,-1,minnesota timberwolves
224,224,1993,Dallas Mavericks,27,-1,dallas mavericks
225,225,1994,Seattle SuperSonics,1,0,oklahoma city thunder
226,226,1994,Houston Rockets,2,4,houston rockets
227,227,1994,Atlanta Hawks,3,1,atlanta hawks
228,228,1994,New York Knicks,4,3,new york knicks
229,229,1994,Phoenix Suns,5,1,phoenix suns
230,230,1994,Chicago Bulls,6,1,chicago bulls
231,231,1994,San Antonio Spurs,7,0,san antonio spurs
232,232,1994,Utah Jazz,8,2,utah jazz
233,233,1994,Golden State Warriors,9,0,golden state warriors
234,234,1994,Orlando Magic,10,0,orlando magic
235,235,1994,Cleveland Cavaliers,11,0,cleveland cavaliers
236,236,1994,Indiana Pacers,12,2,indiana pacers
237,237,1994,Portland Trail Blazers,13,0,portland trail blazers
238,238,1994,New Jersey Nets,14,0,brooklyn nets
239,239,1994,Denver Nuggets,15,1,denver nuggets
240,240,1994,Miami Heat,16,0,miami heat
241,241,1994,Charlotte Hornets,17,-1,charlotte hornets
242,242,1994,Los Angeles Lakers,18,-1,los angeles lakers
243,243,1994,Boston Celtics,19,-1,boston celtics
244,244,1994,Sacramento Kings,20,-1,sacramento kings
245,245,1994,Los Angeles Clippers,21,-1,los angeles clippers
246,246,1994,Philadelphia 76ers,22,-1,philadelphia 76ers
247,247,1994,Washington Bullets,23,-1,washington wizards
248,248,1994,Detroit Pistons,24,-1,detroit pistons
249,249,1994,Milwaukee Bucks,25,-1,milwaukee bucks
250,250,1994,Minnesota Timberwolves,26,-1,minnesota timberwolves
251,251,1994,Dallas Mavericks,27,-1,dallas mavericks
252,252,1995,San Antonio Spurs,1,2,san antonio spurs
253,253,1995,Utah Jazz,2,0,utah jazz
254,254,1995,Phoenix Suns,3,1,phoenix suns
255,255,1995,Orlando Magic,4,3,orlando magic
256,256,1995,Seattle SuperSonics,5,0,oklahoma city thunder
257,257,1995,New York Knicks,6,1,new york knicks
258,258,1995,Indiana Pacers,7,2,indiana pacers
259,259,1995,Charlotte Hornets,8,0,charlotte hornets
260,260,1995,Los Angeles Lakers,9,1,los angeles lakers
261,261,1995,Chicago Bulls,10,1,chicago bulls
262,262,1995,Houston Rockets,11,4,houston rockets
263,263,1995,Portland Trail Blazers,12,0,portland trail blazers
264,264,1995,Cleveland Cavaliers,13,0,cleveland cavaliers
265,265,1995,Atlanta Hawks,14,0,atlanta hawks
266,266,1995,Denver Nuggets,15,0,denver nuggets
267,267,1995,Sacramento Kings,16,-1,sacramento kings
268,268,1995,Dallas Mavericks,17,-1,dallas mavericks
269,269,1995,Boston Celtics,18,0,boston celtics
270,270,1995,Milwaukee Bucks,19,-1,milwaukee bucks
271,271,1995,Miami Heat,20,-1,miami heat
272,272,1995,New Jersey Nets,21,-1,brooklyn nets
273,273,1995,Detroit Pistons,22,-1,detroit pistons
274,274,1995,Golden State Warriors,23,-1,golden state warriors
275,275,1995,Philadelphia 76ers,24,-1,philadelphia 76ers
276,276,1995,Minnesota Timberwolves,25,-1,minnesota timberwolves
277,277,1995,Washington Bullets,26,-1,washington wizards
278,278,1995,Los Angeles Clippers,27,-1,los angeles clippers
279,279,1996,Chicago Bulls,1,4,chicago bulls
280,280,1996,Seattle SuperSonics,2,3,oklahoma city thunder
281,281,1996,Orlando Magic,3,2,orlando magic
282,282,1996,San Antonio Spurs,4,1,san antonio spurs
283,283,1996,Utah Jazz,5,2,utah jazz
284,284,1996,Los Angeles Lakers,6,0,los angeles lakers
285,285,1996,Indiana Pacers,7,0,indiana pacers
286,286,1996,Houston Rockets,8,1,houston rockets
287,287,1996,Cleveland Cavaliers,9,0,cleveland cavaliers
288,288,1996,New York Knicks,10,1,new york knicks
289,289,1996,Atlanta Hawks,11,1,atlanta hawks
290,290,1996,Detroit Pistons,12,0,detroit pistons
291,291,1996,Portland Trail Blazers,13,0,portland trail blazers
292,292,1996,Miami Heat,14,0,miami heat
293,293,1996,Phoenix Suns,15,0,phoenix suns
294,294,1996,Charlotte Hornets,16,-1,charlotte hornets
295,295,1996,Sacramento Kings,17,0,sacramento kings
296,296,1996,Washington Bullets,18,-1,washington wizards
297,297,1996,Golden State Warriors,19,-1,golden state warriors
298,298,1996,Denver Nuggets,20,-1,denver nuggets
299,299,1996,Boston Celtics,21,-1,boston celtics
300,300,1996,New Jersey Nets,22,-1,brooklyn nets
301,301,1996,Los Angeles Clippers,23,-1,los angeles clippers
302,302,1996,Dallas Mavericks,24,-1,dallas mavericks
303,303,1996,Minnesota Timberwolves,25,-1,minnesota timberwolves
304,304,1996,Milwaukee Bucks,26,-1,milwaukee bucks
305,305,1996,Toronto Raptors,27,-1,toronto raptors
306,306,1996,Philadelphia 76ers,28,-1,philadelphia 76ers
307,307,1996,Vancouver Grizzlies,29,-1,memphis grizzlies
308,308,1997,Chicago Bulls,1,4,chicago bulls
309,309,1997,Utah Jazz,2,3,utah jazz
310,310,1997,Miami Heat,3,2,miami heat
311,311,1997,Houston Rockets,4,2,houston rockets
312,312,1997,New York Knicks,5,1,new york knicks
313,313,1997,Seattle SuperSonics,6,1,oklahoma city thunder
314,314,1997,Atlanta Hawks,7,1,atlanta hawks
315,315,1997,Los Angeles Lakers,8,1,los angeles lakers
316,316,1997,Charlotte Hornets,9,0,charlotte hornets
317,317,1997,Detroit Pistons,10,0,detroit pistons
318,318,1997,Portland Trail Blazers,11,0,portland trail blazers
319,319,1997,Orlando Magic,12,0,orlando magic
320,320,1997,Washington Bullets,13,0,washington wizards
321,321,1997,Cleveland Cavaliers,14,-1,cleveland cavaliers
322,322,1997,Minnesota Timberwolves,15,0,minnesota timberwolves
323,323,1997,Phoenix Suns,16,0,phoenix suns
324,324,1997,Indiana Pacers,17,-1,indiana pacers
325,325,1997,Los Angeles Clippers,18,0,los angeles clippers
326,326,1997,Sacramento Kings,19,-1,sacramento kings
327,327,1997,Milwaukee Bucks,20,-1,milwaukee bucks
328,328,1997,Golden State Warriors,21,-1,golden state warriors
329,329,1997,Toronto Raptors,22,-1,toronto raptors
330,330,1997,New Jersey Nets,23,-1,brooklyn nets
331,331,1997,Dallas Mavericks,24,-1,dallas mavericks
332,332,1997,Philadelphia 76ers,25,-1,philadelphia 76ers
333,333,1997,Denver Nuggets,26,-1,denver nuggets
334,334,1997,San Antonio Spurs,27,-1,san antonio spurs
335,335,1997,Boston Celtics,28,-1,boston celtics
336,336,1997,Vancouver Grizzlies,29,-1,memphis grizzlies
337,337,1998,Chicago Bulls,1,4,chicago bulls
338,338,1998,Utah Jazz,2,3,utah jazz
339,339,1998,Los Angeles Lakers,3,2,los angeles lakers
340,340,1998,Seattle SuperSonics,4,1,oklahoma city thunder
341,341,1998,Indiana Pacers,5,2,indiana pacers
342,342,1998,Phoenix Suns,6,0,phoenix suns
343,343,1998,San Antonio Spurs,7,1,san antonio spurs
344,344,1998,Miami Heat,8,0,miami heat
345,345,1998,Charlotte Hornets,9,1,charlotte hornets
346,346,1998,Atlanta Hawks,10,0,atlanta hawks
347,347,1998,Cleveland Cavaliers,11,0,cleveland cavaliers
348,348,1998,Portland Trail Blazers,12,0,portland trail blazers
349,349,1998,Minnesota Timberwolves,13,0,minnesota timberwolves
350,350,1998,New Jersey Nets,14,0,brooklyn nets
351,351,1998,New York Knicks,15,1,new york knicks
352,352,1998,Washington Wizards,16,-1,washington wizards
353,353,1998,Houston Rockets,17,0,houston rockets
354,354,1998,Orlando Magic,18,-1,orlando magic
355,355,1998,Detroit Pistons,19,-1,detroit pistons
356,356,1998,Boston Celtics,20,-1,boston celtics
357,357,1998,Milwaukee Bucks,21,-1,milwaukee bucks
358,358,1998,Philadelphia 76ers,22,-1,philadelphia 76ers
359,359,1998,Sacramento Kings,23,-1,sacramento kings
360,360,1998,Dallas Mavericks,24,-1,dallas mavericks
361,361,1998,Golden State Warriors,25,-1,golden state warriors
362,362,1998,Vancouver Grizzlies,26,-1,memphis grizzlies
363,363,1998,Los Angeles Clippers,27,-1,los angeles clippers
364,364,1998,Toronto Raptors,28,-1,toronto raptors
365,365,1998,Denver Nuggets,29,-1,denver nuggets
366,366,1999,San Antonio Spurs,1,4,san antonio spurs
367,367,1999,Utah Jazz,2,1,utah jazz
368,368,1999,Portland Trail Blazers,3,2,portland trail blazers
369,369,1999,Indiana Pacers,4,2,indiana pacers
370,370,1999,Miami Heat,5,0,miami heat
371,371,1999,Orlando Magic,6,0,orlando magic
372,372,1999,Atlanta Hawks,7,1,atlanta hawks
373,373,1999,Houston Rockets,8,0,houston rockets
374,374,1999,Los Angeles Lakers,9,1,los angeles lakers
375,375,1999,Detroit Pistons,10,0,detroit pistons
376,376,1999,Milwaukee Bucks,11,0,milwaukee bucks
377,377,1999,Philadelphia 76ers,12,1,philadelphia 76ers
378,378,1999,New York Knicks,13,3,new york knicks
379,379,1999,Phoenix Suns,14,0,phoenix suns
380,380,1999,Sacramento Kings,15,0,sacramento kings
381,381,1999,Charlotte Hornets,16,-1,charlotte hornets
382,382,1999,Minnesota Timberwolves,17,0,minnesota timberwolves
383,383,1999,Seattle SuperSonics,18,-1,oklahoma city thunder
384,384,1999,Toronto Raptors,19,-1,toronto raptors
385,385,1999,Cleveland Cavaliers,20,-1,cleveland cavaliers
386,386,1999,Golden State Warriors,21,-1,golden state warriors
387,387,1999,Boston Celtics,22,-1,boston celtics
388,388,1999,Dallas Mavericks,23,-1,dallas mavericks
389,389,1999,Washington Wizards,24,-1,washington wizards
390,390,1999,New Jersey Nets,25,-1,brooklyn nets
391,391,1999,Denver Nuggets,26,-1,denver nuggets
392,392,1999,Chicago Bulls,27,-1,chicago bulls
393,393,1999,Los Angeles Clippers,28,-1,los angeles clippers
394,394,1999,Vancouver Grizzlies,29,-1,memphis grizzlies
